time,zone,entry,exit,total_people
2026-03-09 21:13:29.214749,Zone2,1,1,2
2026-03-09 21:13:29.214749,Zone3,1,1,2
2026-03-09 21:13:29.289753,Zone1,1,1,2
2026-03-09 21:13:29.289753,Zone2,1,1,2
2026-03-09 21:13:29.290753,Zone3,1,1,2
2026-03-09 21:13:29.363053,Zone1,1,1,2
2026-03-09 21:13:29.363053,Zone2,1,1,2
2026-03-09 21:13:29.364508,Zone3,1,1,2
2026-03-09 21:13:29.438227,Zone1,1,1,2
2026-03-09 21:13:29.438227,Zone2,1,1,2
2026-03-09 21:13:29.439227,Zone3,1,1,2
2026-03-09 21:13:29.508611,Zone1,1,1,2
2026-03-09 21:13:29.508611,Zone2,1,1,2
2026-03-09 21:13:29.509955,Zone3,1,1,2
2026-03-09 21:13:29.582417,Zone1,1,1,2
2026-03-09 21:13:29.582417,Zone2,1,1,2
2026-03-09 21:13:29.583417,Zone3,1,1,2
2026-03-09 21:13:29.653437,Zone1,1,1,2
2026-03-09 21:13:29.655292,Zone2,1,1,2
2026-03-09 21:13:29.655292,Zone3,1,1,2
2026-03-09 21:13:29.725960,Zone1,1,1,2
2026-03-09 21:13:29.725960,Zone2,1,1,2
2026-03-09 21:13:29.727185,Zone3,1,1,2
2026-03-09 21:13:29.800647,Zone1,1,1,2
2026-03-09 21:13:29.801647,Zone2,1,1,2
2026-03-09 21:13:29.801647,Zone3,1,1,2
2026-03-09 21:13:29.879226,Zone1,1,1,2
2026-03-09 21:13:29.879226,Zone2,1,1,2
2026-03-09 21:13:29.880234,Zone3,1,1,2
2026-03-09 21:13:29.962442,Zone1,1,1,2
2026-03-09 21:13:29.963432,Zone2,1,1,2
2026-03-09 21:13:29.963432,Zone3,1,1,2
2026-03-09 21:13:30.041855,Zone1,1,1,2
2026-03-09 21:13:30.041855,Zone2,1,1,2
2026-03-09 21:13:30.042860,Zone3,1,1,2
2026-03-09 21:13:30.126255,Zone1,1,1,2
2026-03-09 21:13:30.127255,Zone2,1,1,2
2026-03-09 21:13:30.127255,Zone3,1,1,2
2026-03-09 21:13:30.211328,Zone1,1,1,2
2026-03-09 21:13:30.212770,Zone2,1,1,2
2026-03-09 21:13:30.212770,Zone3,1,1,2
2026-03-09 21:13:30.293361,Zone1,1,1,2
2026-03-09 21:13:30.293361,Zone2,1,1,2
2026-03-09 21:13:30.293361,Zone3,1,1,2
2026-03-09 21:13:30.365150,Zone1,1,1,2
2026-03-09 21:13:30.366177,Zone2,1,1,2
2026-03-09 21:13:30.366177,Zone3,1,1,2
2026-03-09 21:13:30.442853,Zone1,1,1,2
2026-03-09 21:13:30.443853,Zone2,1,1,2
2026-03-09 21:13:30.444853,Zone3,1,1,2
2026-03-09 21:13:30.529379,Zone1,1,1,2
